player,position,age,goals,apps,height
Etrit Berisha,Goalkeeper,29,3,171,1.95
Raphael Augusto,Midfielder,27,1,49,1.81
Dariusz Dudka,Defender,34,13,405,1.83
Yohan Benalouane,Defender,30,3,150,1.87
Tadej Trdina,Forward,30,132,206,1.89
Sékou Junior Sanogo,Midfielder,28,7,116,1.83
Ahmed Musa,Winger,25,87,274,1.7
Mehmet Ekici,Midfielder,27,40,199,1.8
Gideon Baah,Defender,26,8,114,1.85
Franco Matías Di Santo,Forward,28,52,281,1.9304
Carlos Mané,Midfielder,24,17,104,1.72
Cícero Casimiro Sanches Semedo,Forward,31,48,231,1.89
Stefan de Vrij,Defender,26,8,204,1.89
Maciej Makuszewski,Midfielder,28,34,238,1.76
Andrey Olegovich Yeshchenko,Defender,34,9,318,1.76
Rudy Gestede,Forward,29,61,265,1.93
André Simões,Midfielder,28,24,261,1.77
Dani Aquino,Midfielder,27,69,253,1.74
Joseph Akpala,Forward,31,99,306,1.85
Neil Taylor,Defender,29,3,254,1.7526
Kevin Wimmer,Defender,25,6,119,1.87
Eric Maxim Choupo-Moting,Forward,28,66,272,1.9
Heinz Lindner,Goalkeeper,27,0,199,1.87
Thomas Salamon,Midfielder,29,22,200,1.75
Cyrus Christie,Defender,25,6,207,1.8796
Matthias Ostrzolek,Left back,27,1,187,1.78
Kamil Grosicki,Midfielder,29,53,319,1.8
Abdoulaye Traoré,Midfielder,30,21,200,1.79
Denis Cheryshev,Midfielder,27,45,178,1.79
Adam David Lallana,Midfielder,29,61,308,1.72
Marco Schneuwly,Striker,32,106,314,1.8
Viktor Gorridsen Fischer,Midfielder,23,51,129,1.8
Thomas Dalgaard,Forward,33,148,273,1.88
Bradley James Orr,Defender,35,14,339,1.83
Almog Cohen,Midfielder,29,12,241,1.7
Muhammed Ildiz,Midfielder,26,9,108,1.77
David Goodwillie,Forward,28,65,287,1.7526
William James Hughes,Midfielder,22,10,157,1.85
Luca Marrone,Midfielder,27,4,104,1.86
Akaki Gogia,Midfielder,26,21,136,1.78
Lenny Nangis,Midfielder,23,37,169,1.74
Alexandre Dimitri Song Billong,Midfielder,30,8,284,1.85
Anton Atanasov Karachanakov,Midfielder,26,24,104,1.75
Manuel Ortlechner,Full back,38,13,425,1.86
Sosha Makani,Goalkeeper,31,1,223,1.9
Emiliano Viviano,Goalkeeper,33,0,343,1.95
Henri Anier,Forward,27,100,260,1.82
Fabio Quagliarella,Forward,35,129,446,1.8
Gary Paul O'Neil,Midfielder,34,29,449,1.73
Jonathan Glao Tah,Defender,22,2,105,1.92
André Hahn,Forward,27,41,204,1.85
Daniel Amartey,Defender,23,3,99,1.83
Teemu Pukki,Forward,27,78,247,1.8
Lasse Sobiech,Defender,27,17,201,1.96
Gareth Barry,Midfielder,37,55,655,1.83
Pierre-Emerick Emiliano François Aubameyang,Forward,28,110,260,1.87
Makhmednaim Makhmadkarimzade Sharifi,Defender,25,3,70,1.75
Michael Fabián Ríos Ripoll,Midfielder,32,41,249,1.74
Keita Baldé Diao,Forward,23,14,90,1.81
Mounir El Hamdaoui,Forward,33,121,266,1.83
Hélder Postiga,Forward,35,137,473,1.82
Johan Martial,Defender,26,4,124,0
Lasse Schöne,Midfielder,31,77,326,1.78
Yann Sommer,Goalkeeper,29,0,352,1.83
Obeng Regan,Midfielder,23,5,101,1.74
Gabriel Alejandro Paletta,Defender,32,18,289,1.905
Reza Ghoochannejhad,Striker,30,68,187,1.8
Davy Klaassen,Midfielder,25,43,131,1.85
Hedwiges Eduard Martinus Maduro,Defender,33,16,247,1.85
Afriyie Acquah,Midfielder,26,7,144,1.79
Sebastian Rudy,Defender,28,29,253,1.79
John Arne Riise,Defender,37,46,555,1.85
Bogdan Stancu,Midfielder,30,122,371,1.82
Bibras Natkho,Midfielder,30,58,296,1.75
Evander Sno,Midfielder,30,21,161,1.89
Rubén Castro Martín,Forward,36,220,528,1.7
Sadio Mané,Midfielder,25,67,199,1.75
Astrit Ajdarević,Midfielder,27,32,198,1.9
Jean-Paul Boëtius,Midfielder,23,26,126,1.78
Walid Atta,Centre back,31,10,159,1.87
Mix Diskerud,Midfielder,27,20,191,1.84
Khalid Boulahrouz,Defender,36,7,275,1.83
Sidnei,Defender,28,9,188,1.85
Peter Suswam,Defender,26,3,151,1.85
Jérémy Toulalan,Midfielder,34,15,403,1.83
Marc Bartra,Defender,27,7,162,1.83
Alexander Meier,Midfielder,35,122,354,1.96
Fraizer Campbell,Forward,30,59,225,1.72
Lionel Messi,Forward,30,400,523,1.7
Luca Zuffi,Midfielder,27,22,214,1.8
Vladimir Borisovich Gabulov,Goalkeeper,34,0,310,1.9
Ezequiel Matías Muñoz,Defender,27,5,163,1.85
Mirko Teodorović,Midfielder,39,4,249,1.7
Christopher Jullien,Defender,24,16,111,1.95
Muhamed Keita,Forward,27,30,187,1.72
Iván Helguera Bujía,Defender,42,29,373,1.85
David Vahani Manoyan,Midfielder,27,16,127,1.74
Pavel Vidanov,Defender,29,1,158,1.85
Diagne Fallou,Defender,28,10,151,1.85
Zakaria Bakkali,Midfielder,22,22,60,1.64
Veli Kavlak,Midfielder,29,20,290,1.79
Asier Illarramendi Andonegi,Midfielder,28,10,268,1.79
Maikel Franciscus Wilhelmus Verkoelen,Defender,25,3,94,1.83
Lamine Diarrassouba,Forward,32,5,70,1.88
Philipp Zulechner,Forward,27,48,146,1.82
Tobias Weis,Midfielder,32,14,211,1.7
Dušan Basta,Defender,33,23,326,1.84
Miguel Lopes,Defender,31,14,216,1.82
William Carvalho,Midfielder,25,21,197,1.87
Danny Hoesen,Forward,27,34,151,1.86
Yassine Chikhaoui,Midfielder,31,71,239,1.89
Karim Haggui,Defender,34,21,328,1.9
Thomas Rogne,Defender,27,6,134,1.93
Jucilei,Central midfielder,29,9,196,1.85
Emmanuel Rivière,Forward,28,47,204,1.82
Larnell Cole,Midfielder,25,3,41,0
Antonio Rukavina,Defender,34,33,452,1.77
Daniel Baier,Midfielder,33,9,315,1.74
Nathan Benjamin Aké,Defender,23,7,74,1.8
Johan Bertilsson,Midfielder,30,56,250,1.77
Josh Coulson,Defender,29,14,268,1.905
Mathieu Soraya  Valbuena,Midfielder,33,52,404,1.67
Theofanis Gekas,Forward,37,230,541,1.8
Álvaro Domínguez,Defender,28,9,222,1.89
Marc-André ter Stegen,Goalkeeper,25,0,170,1.87
David Accam,Midfielder,27,72,150,1.74
Niclas Füllkrug,Forward,25,43,141,1.88
Roberto José Rosales Altuve,Defender,29,9,341,1.74
Joris Mathijsen,Defender,37,18,493,1.83
Pajtim Kasami,Midfielder,25,24,169,1.88
Séamus Coleman,Defender,29,19,302,1.77
Dellatorre,Forward,25,22,112,1.86
Nicolás Mezquida,Attacking midfielder,26,25,112,1.72
Michael Gregoritsch,Midfielder,23,62,209,1.93
Uche Nwofor,Striker,26,43,110,1.84
Houssine Kharja,Midfielder,35,45,408,1.8
Gideon Jung,Midfielder,23,3,69,1.89
Gary Gardner,Midfielder,25,10,88,1.88
Souza,Defensive midfielder,30,31,234,1.83
Tolgay Ali Arslan,Midfielder,27,9,146,1.8
Jermaine Junior Jones,Midfielder,36,41,337,1.84
Seydou Doumbia,Forward,30,166,304,1.78
Florian Marange,Defender,32,2,174,1.76
Liam Bridcutt,Defensive midfielder,28,7,219,1.7526
Carles Coto Pagès,Midfielder,30,19,212,1.73
Dennis Aogo,Defender,31,19,336,1.84
Tomáš Vaclík,Goalkeeper,28,0,213,1.88
Athanasios Petsos,Defensive midfielder,26,8,150,1.84
Tin Jedvaj,Defender,22,3,68,1.84
Alexandre Lacazette,Forward,26,80,201,1.75
Mikael Bertil Dyrestam,Defender,26,2,126,1.86
Vangelis Mantzios,Forward,34,87,299,1.91
Caner Erkin,Defender,29,31,299,1.81
Benjamin Lauth,Forward,36,101,352,1.79
Andrea Pirlo,Midfielder,38,63,566,1.75
Wilfried Domoraud,Winger,29,24,189,1.8288
Diego Capel,Midfielder,30,26,365,1.73
Karol Linetty,Midfielder,23,7,123,1.76
Connor Neil Ralph Wickham,Forward,24,49,205,1.91
Youssouf Mulumbu,Midfielder,31,18,327,1.77
Christian Fuchs,Defender,31,31,416,1.86
Marco Natanael Torsiglieri,Defender,30,3,175,1.9
Jesé Rodríguez,Forward,25,48,158,1.78
Yohan Mollo,Midfielder,28,22,216,1.75
Rio Mavuba,Midfielder,34,7,446,1.72
John Souttar,Defender,21,2,110,1.86
Joachim Standfest,Right back,37,34,554,1.8
Lucas Silva Borges,Midfielder,25,4,95,1.82
Armando Vajushi,Midfielder,26,34,189,1.8
Gergő Lovrencsics,Midfielder,29,76,281,1.77
Kwame Adzenyina Yeboah,Forward,23,5,44,1.82
Steven Roy Caulker,Centre-back,26,14,229,1.905
Jonathan de Amo Pérez,Defender,28,3,140,1.9
Marco Meilinger,Midfielder,26,28,198,1.8
Alan Kasaev,Midfielder,31,34,273,1.74
Tomás Esteban Correa Miranda,Striker,33,69,208,1.8
André Filipe Tavares Gomes,Midfielder,24,21,115,1.88
Francis Coquelin,Midfielder,26,1,144,1.78
Bryan Ruiz,Forward,32,134,449,1.88
Yordy Reyna,Forward,24,35,132,1.69
Marcus Berg,Forward,31,134,334,1.83
Łukasz Fabiański,Goalkeeper,32,0,204,1.9
Sylvain Marveaux,Midfielder,31,22,176,1.72
Davide Astori,Defender,31,6,303,1.88
Domenico Criscito,Defender,31,20,289,1.83
Nabil Ghilas,Forward,27,33,170,1.83
Markus Hammerer,Forward,28,33,117,1.78
Idrissa Gueye,Midfielder,28,7,266,1.74
Jetro Willems,Left back,23,10,163,1.7
Jordan Zacharie Lukaku Menama Mokelenge,Defender,23,3,100,1.86
Gonzalo Diego Bueno Bingola,Forward,25,16,69,1.74
Massimo Donati,Midfielder,36,25,469,1.88
El Arabi Hillel Soudani,Forward,30,125,274,1.77
Domi Kumbela,Forward,33,106,343,1.72
Aristide Bancé,Forward,33,117,392,1.93
Antonio Juan Barragán Fernández,Defender,30,3,204,1.86
Dragan Mrđa,Forward,34,128,338,1.87
David Witteveen,Forward,32,85,257,1.9
Chris Baird,Defender,36,8,356,1.8542
Admir Mehmedi,Centre Forward,26,58,246,1.82
Kevin Lafrance,Defender,28,17,148,1.84
Andriy Oleksandrovich Dykan,Goalkeeper,40,11,434,1.92
Morgan Amalfitano,Midfielder,32,25,370,1.76
Cristian Ansaldi,Defender,31,6,203,1.81
Jeremy Loteteka Bokila,Forward,29,79,254,1.88
Jack Colback,Midfielder,28,13,236,1.7526
Stéphane Besle,Defender,34,21,289,1.88
Sergio Carlos Strandberg,Forward,23,28,87,1.87
Zakaria Labyad,Midfielder,25,31,148,1.72
John Gijsbert Alan Heitinga,Defender,34,31,411,1.8
Jacob Harry Maguire,Defender,25,10,180,1.8796
Arnold Kruiswijk,Full back,33,0,335,1.82
Morten Gamst Pedersen,Midfielder,36,105,535,1.8034
Kerim Frei Koyunlu,Midfielder,24,12,104,1.71
Humberto Rales,Forward,25,35,160,1.73
Stephen James Ireland,Midfielder,31,23,249,1.76
Timothy Chandler,Defender,27,18,235,1.86
Minori Sato,Midfielder,27,24,172,1.69
Lukas Jutkiewicz,Forward,28,57,274,1.8542
Alessandro Matri,Forward,33,102,364,1.83
Axel Bellinghausen,Midfielder,34,25,359,1.82
Wilfried Bony,Forward,29,115,277,1.82
Lerin Duarte,Midfielder,27,23,167,1.68
Roman Kienast,Striker,33,118,355,1.9
Alex Feneridis,Midfielder,28,16,97,1.86
Mario Leitgeb,Midfielder,29,19,218,0
Stefan Velkov,Defender,21,2,78,1.9
Lee Chung-yong,Midfielder,29,36,284,1.8
Winston Wiremu Reid,Defender,29,9,250,1.91
Mamadou Sakho,Centre-back,28,10,221,1.87
Oliver Baumann,Goalkeeper,27,0,230,1.87
Nathaniel Chalobah,Defender,23,12,148,1.85
Deniz Hümmet,Forward,21,16,41,1.89
Adam Larsen Kwarasey,Goalkeeper,30,0,225,1.9
Jens Toornstra,Midfielder,28,41,213,1.78
Ergys Kaçe,Midfielder,24,9,146,1.7
Danijel Ljuboja,Forward,39,122,453,1.89
Manuel José da Luz Correia Curto,Midfielder,31,35,204,1.86
Rafał Murawski,Midfielder,36,41,472,1.75
Cédric Carrasso,Goalkeeper,36,0,356,1.87
Kenan Karaman,Forward,24,17,88,1.89
Caio,Midfielder,31,44,212,1.86
Franck Tabanou,Defender,29,20,231,1.78
André Gomes Magalhães de Almeida,Defender,27,8,147,1.86
Benjamin Fuchs,Defender,34,26,340,1.8
Youssef Msakni,Forward,27,86,227,1.79
Ibragim Yuryevich Tsallagov,Defender,27,8,198,1.77
Emanuele Giaccherini,Midfielder,32,52,313,1.68
Pascal Testroet,Forward,27,59,190,1.84
Ryan Gauld,Midfielder,22,19,129,1.68
Stefan Kutschke,Forward,29,58,211,1.94
Haris Bukva,Midfielder,29,8,212,1.85
Steven Zuber,Midfielder,26,33,213,1.81
Iasmin Latovlevici,Defender,31,8,202,1.75
Emil Johansson,Defender,31,6,175,1.72
Varazdat Haroyan,Defender,25,8,175,1.85
Georg Margreitter,Defender,29,12,194,1.87
Etienne Arthur Boka,Defender,34,12,390,1.66
Stephen Sama,Defender,25,1,59,1.88
Philipp Huspek,Attacking midfielder,27,20,191,1.72
Petr Čech,Goalkeeper,35,0,520,1.96
Alberto Gilardino,Forward,35,231,603,1.84
Nicolás Castillo,Forward,25,51,124,1.77
Diafra Sakho,Striker,28,60,169,1.84
Marvin Plattenhardt,Defender,26,4,199,1.81
Karim Bellarabi,Midfielder,27,45,204,1.83
Tonny Emilio Trindade de Vilhena,Midfielder,23,28,150,1.75
Kaja Rogulj,Centre Back,31,8,235,1.87
Arlind Ajeti,Defender,24,7,137,1.84
Sergio Canales,Midfielder,27,22,196,1.76
David Alaba,Defender,25,19,221,1.8
Maximiliano Rubén Rodríguez,Midfielder,37,154,538,1.8
Masahudu Alhassan,Defender,25,3,91,1.76
Richard Windbichler,Defender,26,7,158,1.83
Troy Matthew Deeney,Striker,29,128,384,1.83
Roman Hubník,Defender,33,22,290,1.92
Alan Kardec,Forward,29,56,208,1.85
Henrik Ojamaa,Forward,26,27,225,1.76
Paolo Cannavaro,Defender,36,13,425,1.85
Matěj Vydra,Forward,25,63,215,1.8
Alberto Lopo,Defender,37,22,484,1.86
Sebastian Dudek,Midfielder,38,25,194,1.82
Vilson Xavier de Menezes Júnior,Defender,28,6,145,1.89
Ziguy Badibanga,Winger,26,22,148,1.72
Gerónimo Rulli,Goalkeeper,25,0,118,1.89
Marwin Hitz,Goalkeeper,30,1,188,1.93
Patryk Misik,Midfielder,23,2,20,1.75
Rubin Rafael Okotie,Forward,30,91,289,1.88
Douglas Edward Alexander,Goalkeeper,41,0,359,1.87
Lorik Agim Cana,Defender,34,16,481,1.86
Ignacio Scocco,Forward,32,114,345,1.72
Marco Reus,Forward,28,102,285,1.8
Mike Havenaar,Forward,30,112,309,1.94
Raúl Bravo Sanfélix,Defender,36,11,301,1.76
Vincent Aboubakar,Forward,26,70,215,1.84
Roman Adamov,Striker,35,82,325,1.87
Moustapha Bayal Sall,Centre back,32,9,208,1.94
Paul Baysse,Defender,29,11,205,1.84
Karl Darlow,Goalkeeper,27,0,135,1.8542
Marius Žaliūkas,Defender,34,17,321,1.9
Garra Dembélé,Forward,32,72,174,1.87
Sébastien Pocognoli,Defender,30,13,292,1.82
Diego Lugano,Defender,37,49,441,1.88
Janik Haberer,Forward,23,16,120,1.87
Gonzalo Castro Randón,Midfielder,30,34,347,1.71
Felipe Salvador Caicedo Corozo,Forward,29,83,309,1.85
Alharbi El Jadeyaoui,Midfielder,31,28,257,1.85
Marco Davide Faraoni,Defender,26,4,116,1.8
Jonathan Pitroipa,Midfielder,31,65,341,1.76
Victor Andrade Santos,Right winger,22,9,84,1.77
Iker Casillas,Goalkeeper,36,0,609,1.85
Giannelli Imbula Wanga,Midfielder,25,10,197,1.86
Youness Mokhtar,Winger,26,29,150,1.76
Michael Madl,Defender,29,11,243,1.81
David Caiado,Midfielder,30,31,210,1.75
Jaime Romero Gómez,Midfielder,27,15,164,1.76
Grzegorz Krychowiak,Midfielder,28,19,262,1.86
Antonio Nocerino,Midfielder,32,28,412,1.75
Scott Matthew Parker,Midfielder,37,31,483,1.7018
Santiago Arias Naranjo,Defender,26,7,194,1.77
Nathan Delfouneso,Forward,27,31,207,1.8542
Antonio Cassano,Forward,35,118,432,1.75
Nicolás Federico Spolli,Central defender,35,15,260,1.92
Henri Saivet,Midfielder,27,47,255,1.75
Mohamed Farouk Abdel Meguid,Forward,39,6,30,1.76
Yannick Gerhardt,Midfielder,23,7,98,1.84
Joel Nathaniel Campbell Samuels,Midfielder,26,48,214,1.78
Marco Motta,Defender,31,9,220,1.86
Alain Nef,Defender,36,30,421,1.91
Steven Arnold Defour,Midfielder,29,30,319,1.74
Florian Klein,Defender,31,31,409,1.8
Christopher Mark Eagles,Midfielder,32,50,312,1.8288
Johannes Wurtz,Forward,25,33,136,1.82
Chinedu Obasi,Forward,31,56,189,1.88
Rémy Cabella,Midfielder,28,38,203,1.71
Roger,Attacking Midfielder,35,33,308,1.86
Dosa Júnior,Defender,31,19,257,1.88
Stefan Stangl,Defender,26,13,175,1.85
Jermaine Paul Alexander Beckford,Forward,34,183,421,1.88
Ricardo Kishna,Forward,23,12,73,1.87
Tarik Elyounoussi,Forward,30,71,301,1.72
Lee Michael John Camp,Goalkeeper,33,0,454,1.8542
Evandro Goebel,Midfielder,31,46,267,1.79
Tim Väyrynen,Forward,24,56,157,1.91
Óscar René Cardozo Marín,Forward,34,209,407,1.93
Vicente Iborra,Midfielder,30,30,269,1.9
Sebastian Larsson,Winger,32,41,373,1.78
Luis Advíncula,Defender,28,13,260,1.77
Diego De Girolamo,Forward,22,8,29,1.778
Kennedy Ashia,Striker,24,0,0,1.71
Andreas Ludwig,Midfielder,27,41,182,1.72
Filip Helander,Defender,24,4,120,1.92
Ismaël Bangoura,Forward,33,105,323,1.74
Danny Ings,Forward,25,55,178,1.778
Eduardo Salvio,Midfielder,27,45,206,1.73
Roland Richard Guaves Müller,Goalkeeper,30,0,193,1.8
Moshtagh Hossain Yaghoubi,Midfielder,23,12,133,1.78
Petr Pavlík,Defender,30,9,190,1.89
Johan Jarlín Vonlanthen Benavídez,Midfielder,32,54,308,1.75
Éver Banega,Midfielder,29,24,337,1.74
Erton Fejzullahu,Forward,29,79,221,1.78
Derlis González,Winger,23,43,172,1.72
Lorenzo Insigne,Forward,26,69,233,1.63
Pirmin Schwegler,Midfielder,31,15,304,1.79
Stefan Maierhofer,Forward,35,114,314,2.02
Jens Hegeler,Midfielder,30,14,228,1.93
António José Marreco de Gouveia,Forward,30,78,247,1.83
Christophe Berra,Defender,33,19,438,1.9
Simon William Moore,Goalkeeper,27,1,175,1.905
Luke Isaac Hunt Moore,Forward,32,42,288,1.8034
Philipp Muntwiler,Defender,31,27,278,1.8
Artem Volodymyrovych Milevskiy,Striker,33,81,266,1.89
Thomas Piermayr,Defender,28,5,187,1.84
Luis Fernando Muriel Fruto,Forward,26,48,176,1.78
Mert Günok,Goalkeeper,29,0,65,1.96
Casper Sloth,Midfielder,25,10,180,1.82
Karim Benzema,Forward,30,192,383,1.87
Markus Katzer,Defender,38,40,391,1.86
Ross Turnbull,Goalkeeper,33,0,158,1.93
Dorin Rotariu,Midfielder,22,23,138,1.8
René Gartler,Forward,32,103,280,1.83
Kevin Vogt,Central Midfielder,26,6,154,1.94
Marc Pfitzner,Midfielder,33,31,312,1.83
Kris Bright,Forward,31,107,219,1.89
Islam Slimani,Forward,29,127,248,1.88
Matias Ojala,Midfielder,23,11,83,1.67
Diego Perotti,Midfielder,29,28,269,1.79
Adnan Januzaj,Midfielder,23,5,68,1.82
Michael Finlay Parkhurst,Defender,34,6,355,1.8
Sani Shehu Emmanuel,Forward,25,11,23,1.7
Christoph Spycher,Full-back,39,13,434,1.74
Aleksandr Gennadyevich Anyukov,Defender,35,16,411,1.78
Christian Schulz,Defender,34,26,405,1.85
Béko Fofana,Forward,29,32,123,1.82
Erik Falkenburg,Attacking midfielder,29,53,216,1.87
Christoph Kramer,Midfielder,27,10,205,1.91
Daniel Ginczek,Forward,26,73,189,1.91
Ahmed Samir,Midfielder,26,5,25,0
Mario Eggimann,Defender,37,22,338,1.89
Arda Turan,Midfielder,31,55,349,1.78
Ilir Azemi,Forward,26,36,111,1.92
Marc-Oliver Kempf,Defender,23,11,95,1.85
Dani Aranzubia,Goalkeeper,38,1,471,1.86
Eyal Golasa,Midfielder,26,17,189,1.74
Lorenzo Ariaudo,Defender,28,2,105,1.86
Adrian Mrowiec,Midfielder,34,3,167,1.9
Raoul Loé,Midfielder,29,11,239,1.92
Ryan Tunnicliffe,Midfielder,25,7,134,1.83
Joël Matip,Defender,26,19,229,1.95
Alphonse Aréola,Goalkeeper,25,0,136,1.91
Jan Hochscheidt,Midfielder,30,40,274,1.79
Neven Subotić,Defender,29,24,297,1.91
Fidel Martinez,Forward,28,65,237,1.8
Benoît Assou-Ekotto,Defender,33,8,305,1.78
Sebastian Mielitz,Goalkeeper,28,0,153,1.88
André Hainault,Defender,31,12,279,1.84
Wanderson,Midfielder,30,31,126,1.67
Mike Rigoberto Gelito Ott,Midfielder,23,20,74,1.66
Younès Kaboul,Defender,32,15,250,1.93
Christopher Drazan,Midfielder,27,17,241,1.84
Max-Alain Gradel,Forward,30,76,301,1.75
Diego Benaglio,Goalkeeper,34,0,393,1.93
Peter Ankersen,Defender,27,9,198,1.8
Conor Newton,Midfielder,26,6,93,1.81
Alireza Jahanbakhsh,Attacking midfielder,24,48,185,1.8
Charalampos Mavrias,Midfielder,24,13,132,1.77
Marcell Jansen,Defender,32,29,292,1.91
Pontus Jansson,Defender,27,15,165,1.96
Lucas Evangelista Santana de Oliveira,Midfielder,22,2,45,1.81
Aykut Özer,Goalkeeper,25,0,57,1.89
Daniel Boateng,Defender,25,0,24,1.85
Alex Sandro Lobo Silva,Defender,27,6,180,1.8
Gustavo Alejandro Colman,Midfielder,32,31,274,1.75
内田篤人,Defender,29,6,320,1.76
Peter Pekarík,Defender,31,7,389,1.76
Johannes Geis,Midfielder,24,17,171,1.77
Andrea Ranocchia,Defender,30,15,286,1.95
Matteo Ardemagni,Striker,30,79,285,1.85
Layvin Kurzawa,Defender,25,19,141,1.82
Easah Suliman,Defender,20,0,30,1.8542
Faustino Marcos Alberto Rojo,Defender,27,10,190,1.87
Érik Manuel Lamela,Attacking midfielder,26,37,209,1.83
Mikael Wernbloom,Midfielder,31,52,360,1.87
Juan Guillermo,Midfielder,29,36,270,1.78
Christian Dorda,Full back,29,3,158,1.82
Moanes Dabour,Forward,25,89,220,1.81
Yassin Mikari,Defender,35,21,297,1.72
Ignacio Camacho Barnola,Midfielder,27,20,224,1.82
Enes Ünal,Forward,20,60,105,1.85
Matteo Bianchetti,Defender,24,0,57,1.89
Wayne Hennessey,Goalkeeper,31,1,233,1.98
Hossam Mohamed El Sayed Metwalli Abdel Sattar Ghaly,Midfielder,36,15,300,1.8288
Leyti N'Diaye,Defender,32,2,87,1.88
Cristian Mark Junior Nascimento Oliveira Baroni,Midfielder,34,28,245,1.83
Rodney Sneijder,Midfielder,26,7,89,1.75
Kazuki Nagasawa,Midfielder,26,4,56,1.73
Aluísio Chaves Ribeiro,Forward,30,87,175,1.76
Aymeric Laporte,Defender,23,10,188,1.89
Déguy Alain Didier Zokora,Defensive_midfielder,37,3,689,1.8
Richmond Nketiah,Defender,23,1,23,1.75
Stephen Daniel Crainey,Defender,36,5,403,1.75
Manolo Gabbiadini,Forward,26,56,210,1.89
Quincy Owusu-Abeyie,Midfielder,31,19,196,1.8
Nazmi Albadawi,Midfielder,26,25,95,1.8
Joel Pohjanpalo,Forward,23,73,170,1.82
Timothy Michael Krul,Goalkeeper,29,0,212,1.93
Memphis Depay,Forward,24,53,149,1.76
Jonathan Obika,Forward,27,44,196,1.83
Serge David Gnabry,Midfielder,22,10,56,1.73
Julien Féret,Attacking Midfielder,35,65,418,1.87
Albert Riera Ortega,Defender,35,51,435,1.88
Peniel Kokou Mlapa,Forward,27,37,208,1.93
Manuel Arboleda,Defender,38,18,184,1.88
Mateus Lima Cruz,Forward,25,17,63,1.87
Miroslav Josef Klose,Forward,39,284,666,1.84
Roman Eremenko,Midfielder,30,40,268,1.85
Max Meyer,Midfielder,22,30,127,1.73
Kamil Glik,Defender,30,22,314,1.9
Giovanni Sio,Forward,28,67,259,1.8
Maxime Lopez,Midfielder,20,0,3,1.67
James Alan Tarkowski,Defender,25,9,147,1.905
Antônio da Silva,Midfielder,39,43,315,1.75
Ogenyi Onazi,Midfielder,25,7,128,1.73
Bruma,Midfielder,23,21,126,1.73
Sébastien Wüthrich,Midfielder,27,26,222,1.8
Blaise Matuidi,Midfielder,30,34,457,1.75
Manabu Saitō,Forward,27,46,224,1.69
Renato Civelli,Defender,34,28,344,1.93
Guus Hupperts,Striker,25,17,136,1.84
Pedro Obiang,Midfielder,25,4,166,1.85
Matthieu Delpierre,Defender,36,8,352,1.93
Bruno Ecuele Manga,Defender,29,19,334,1.86
Stefan Schwab,Midfielder,27,39,213,1.83
Tom Hateley,Defender,28,11,241,1.8288
Gervais Lombe Yao Kouassi,Forward,30,99,392,1.79
Alexandru Bourceanu,Midfielder,32,13,328,1.76
Marcel Sabitzer,Forward,23,67,214,1.77
Ronald Alejandro Vargas Aranguren,Forward,31,54,204,1.74
Jack Andrew Garry Wilshere,Midfielder,26,7,136,1.72
Moestafa El Kabir,Forward,29,48,132,1.76
Gonçalo Manuel Ganchinho Guedes,Winger,21,17,98,1.79
Bakary Koné,Defender,29,13,309,1.88
Holger Badstuber,Defender,28,10,186,1.9
Barry Bannan,Midfielder,28,8,221,1.67
Markus Suttner,Left back,30,9,240,1.79
Paulus Arajuuri,Defender,29,14,242,1.92
Ailton Ferreira Silva,Defender,22,3,37,1.81
Simone Santarelli,Goalkeeper,29,0,24,1.84
Peter van Ooijen,Midfielder,26,3,64,1.79
Raphael Holzhauser,Midfielder,25,24,187,1.93
Ulises Dávila,Midfielder,26,20,164,1.72
Niccolò Giannetti,Forward,26,37,136,1.74
Carles Gil,Midfielder,25,13,156,1.7
Simeon Slavchev,Midfielder,24,16,105,1.85
Jean Paul Farrugia,Forward,25,25,108,1.82
Mariusz Lewandowski,Defensive Midfielder,38,43,392,1.84
Michael Eneramo,Striker,32,104,243,1.87
Denni Avdić,Forward,29,59,250,1.93
Dariusz Dudek,Defender,42,0,0,0
Gary Christofer Kagelmacher Pérez,Defender,29,19,282,1.83
Robert Koren,Midfielder,37,112,654,1.75
Marco Mathys,Midfielder,30,47,289,1.84
Denis Borisovich Glushakov,Defensive Midfielder,31,47,345,1.82
Hogan Phillip Ephraim,Forward,29,16,194,1.7526
Amoroso,Forward,43,148,366,1.8
András Stieber,Midfielder,26,0,30,1.75
Nicolai Müller,Midfielder,30,66,291,1.73
Ondrej Duda,Midfielder,23,21,122,1.83
Gueïda Fofana,Midfielder,26,14,184,1.82
Néstor Fernando Muslera Micol,Goalkeeper,31,1,405,1.9
Rune Almenning Jarstein,Goalkeeper,33,0,318,1.9
Leandro de Oliveira da Luz,Attacking Midfielder,35,137,237,1.78
James Philip Milner,Midfielder,32,60,448,1.7526
Thomas Phibel,Defender,31,8,189,1.92
Youri Tielemans,Midfielder,20,31,136,1.76
Orlando Carlos Braga de Sá,Forward,29,62,180,1.88
Ignasi Miquel Pons,Defender,25,1,49,1.93
Emilijus Zubas,Goalkeeper,27,1,155,1.9
Ron-Robert Zieler,Goalkeeper,29,0,221,1.88
Kenneth Zohore,Forward,24,38,127,1.92
Dominic Adiyiah,Forward,28,28,164,1.72
Yuri Zhirkov,Midfielder,34,51,430,1.8
Sergio Floccari,Forward,36,99,437,1.78
