player,rumoured_club,successful
Bernard Malanda-Adje,VfB Stuttgart,False
Shkodran Mustafi,OFK Bor,False
Nikita Vadimovich Rukavytsya,FSV Frankfurt,True
Kostas Manolas,Bayern Munich,False
Edin Džeko,Arsenal F.C.,False
Warner Hahn,Feyenoord,True
Kurt Happy Zouma,OFK Bor,False
Saúl Ñíguez Esclápez,Everton,False
Carlos Adriano de Souza Vieira,Sport Club Internacional,True
Moses Odubajo,Tottenham Hotspur,False
Péter Gulácsi,Stoke City,False
Koke,Chelsea,False
Lukas Rupp,Karlsruher Sport-Club,True
Idir Ouali,1. FSV Mainz 05,False
Martyn  Waghorn,Millwall F.C.,True
Tamás Priskin,FK Austria Wien,True
André Schembri,FSV Frankfurt,True
Benjamin Corgnet,Saint-Étienne,True
Saido Berahino,Arsenal F.C.,False
Luis Alberto Romero,Liverpool F.C.,True
Marco van Ginkel,Manchester United,False
Jakub Kosecki,Stoke City,False
Lucas Piazon,VfL Wolfsburg,False
Morgan Schneiderlin,Manchester United,True
Ciro Immobile,Sportfreunde Siegen,False
Aaron James Ramsey,Manchester United,False
Aly Cissokho,Sunderland AFC,False
Omar Abdulrahman,FC Schalke 04,False
Moussa Sow,Sunderland AFC,False
Juhani Ojala,Zürich,False
Roberto Firmino Barbosa de Oliveira,A.C. Milan,False
Maicon Douglas Sisenando,Roma,True
Sebastian Rode,Napoli,False
Hugo Miguel Pereira de Almeida,Hamburger SV,False
Dani Schahin,1. FSV Mainz 05,True
Antonio Adán Garrido,Rayo Vallecano,False
Kevin Volland,Bayern Munich,False
Alex McCarthy,Everton,False
Jan Bert Lieve Vertonghen,Napoli,False
Maximilian Kruse,Manchester United,False
Ibrahima Traoré,Bayern Munich,False
Gaby Mudingayi,Celtic F.C.,False
Antoine Griezmann,Everton,False
Michael Petrasso,Stoke City,False
Marouane Chamak,Crystal Palace,True
Valentin Stocker,FC Schalke 04,False
Ádám Vass,Śląsk Wrocław,False
Manuel Weber,Wolfsberger AC,True
Ashley Cole,New York Red Bulls,False
Tunay Torun,Bursaspor,False
Juan Mata,Manchester United,True
Stjepan Vuleta,FC Wacker Innsbruck,False
Pape N'Diaye Souaré,Arsenal F.C.,False
Victor Wanyama,Liverpool F.C.,False
Massimo Bruno,TSG 1899 Hoffenheim,False
FC Marek Dupnitsa,Hamburger SV,False
Mike Frantz,Hertha BSC,False
Ademilson Braga Bispo Junior,OFK Bor,False
Salomon Armand Magloire Kalou,West Bromwich Albion F.C.,False
Mario Götze,Chelsea,False
Raheem Lawal,Lech Poznań,False
Joël Ivo Veltman,Manchester City F.C.,False
Eljero George Rinaldo Elia,PAOK FC,False
Mike Frantz,SC Freiburg,True
Matías Agustín Silvestre,Parma,False
Danilo D'Ambrosio,Inter Milan,True
Carlos Hernández,Alajuelense,False
Cheikh M'Bengue,Stade Rennais,True
Joleon Lescott,Beşiktaş,False
Daniel Bachmann,SK Sturm Graz,True
Loïc Négo,Charlton Athletic F.C.,True
Raul Meireles,Sunderland AFC,False
Anders Lindegaard,OFK Bor,False
Nelson Valdez,OFK Bor,False
Boubacar Sanogo,FC Augsburg,False
Zlatan Ibrahimović,OFK Bor,False
Hélio Roque,Lech Poznań,False
Gustav Valsvik,SK Sturm Graz,False
Liban Abdi,SC Freiburg,False
Tiago Abiola Delfim Almeida Ilori,S.L. Benfica,False
Stéphane Mbia Etoundi,Aston Villa F.C.,False
Didier Ya Konan,Everton,False
Cimo Patric Röcker,Combinatie Zwolle,False
Seydou Keita,SC Freiburg,False
Kenwyne Jones,Everton,False
Kim Mikael Källström,Arsenal F.C.,True
Eren Derdiyok,Sunderland AFC,False
Kevin Strootman,Roma,True
Craig Gardner,West Bromwich Albion F.C.,True
Paul Madiba,Queens Park Rangers,False
Aaron Hunt,Stoke City,False
Karen Muradyan,Ruch Chorzów S.A.,False
Maximilian Arnold,Arsenal F.C.,False
Caiuby,FC Augsburg,True
Ivan Cavaleiro,Manchester United,False
Jeroen Zoet,Sunderland AFC,False
Thorgan Ganael Francis Hazard,K.R.C. Genk,False
Daley Blind,Hamburger SV,False
Balázs Dzsudzsák,Everton,False
Dominik Furman,Hamburger SV,False
Kevin Trappo,Napoli,False
Yura Movsisyan,VfL Wolfsburg,False
Gordan Bunoza,Lokeren,False
Matthew Kilgallon,Blackburn Rovers,True
Marius Silviu Alexe,Fulham F.C.,False
Paul Madiba,OFK Bor,False
Nick Proschwitz,Hannover 96,False
Dedé,VfL Wolfsburg,False
Luca Caldirola,Sportfreunde Siegen,True
Carlton Michael George Cole,Crystal Palace,False
Arturo Erasmo Vidal Pardo,Real Madrid C.F.,False
Mario Balotelli,Flamengo,False
Andriy Tkachuk,SK Sturm Graz,False
Cheikhou Kouyaté,CSKA Moscow,False
Michal Kadlec,Sportfreunde Siegen,False
Rok Elsner,Wisła Kraków,False
Gabriel Cichero,F.C. Sion,True
Timo Horn,OFK Bor,False
Adrien Rabiot,Chelsea,False
Magaye Serigne Falilou,Lens,False
Ryan Bertrand,Southampton F.C.,True
Benedikt Röcker,SpVgg Greuther Fürth,True
Kevin De Bruyne,Málaga,False
Stephan Andrist,FC Aarau,True
Ryan Bertrand,Everton,False
José María Basanta,Crystal Palace,False
Arouna Koné,Everton,True
John Obi Mikel,Trabzonspor,False
Alexandru Iulian Maxim,OFK Bor,False
Jan Kristiansen,OFK Bor,False
Marko Arnautović,Sevilla FC,False
Philipp Hofmann,FC Ingolstadt 04,True
Valmir Berisha,Sportfreunde Siegen,False
Mike Hanke,Brisbane Roar,False
Adrien Sébastien Perruchet Silva,West Bromwich Albion F.C.,False
Nani,Inter Milan,False
Guillermo Molins,K.R.C. Genk,False
Stoke City,Manchester City F.C.,False
Santiago Vergini,FC Barcelona,False
Roel Brouwers,Sportvereniging Roda,True
Micah Lincoln Richards,Inter Milan,False
David Nii Addy,SC Freiburg,False
Boukary Dramé,TSG 1899 Hoffenheim,False
Michael Mancienne,Sunderland AFC,False
Valmir Berisha,Celtic F.C.,False
Julian Brandt,Chelsea,False
Ronaldo de Assis Moreira,FC Schalke 04,False
Jordy Clasie,Arsenal F.C.,False
Ryad Boudebouz,Rubin Kazan,False
Modibo Maïga,Queens Park Rangers,True
Hany Mukhtar,SpVgg Greuther Fürth,False
do Nascimento,FC Barcelona,False
Remko Pasveer,PSV Eindhoven,True
Thievy Guivane Bifouma Koulossa,Málaga,False
Sergio Romero,Basel,False
Lars Unnerstall,Hertha BSC,False
Marcin Robak,Pogoń Szczecin,True
Nacer Chadli,Aston Villa F.C.,False
Eduardo,Arsenal F.C.,True
Graziano Pellè,Olympiacos,False
Bradley Edwin Guzan,Arsenal F.C.,False
Maxime Gonalons,Napoli,False
Josuha Guilavogui,Arsenal F.C.,False
Dazet Wilfried Armel Zaha,Southampton F.C.,False
Roberto Firmino Barbosa de Oliveira,Paris Saint-Germain,False
Musa Auwal Yahaya,Manchester City F.C.,False
Júlio César Soares de Espíndola,Grêmio,False
Konstantinos Mitroglou,Arsenal F.C.,False
Giannis Maniatis,Sportfreunde Siegen,False
Michel Bastos,Napoli,False
Marko Arnautović,Valencia CF,False
Valentin Stocker,Hertha BSC,True
Ashkan Dejagah,Chelsea,False
Marco Stiepermann,Hertha BSC,False
Simon Zoller,Fulham F.C.,False
Fin Bartels,Sportfreunde Siegen,False
John Robert Brayford,Sheffield United F.C.,True
Luis Antonio Valencia Mosquera,Everton,False
José Callejón,Napoli,True
Graham Dorrans,Nottingham Forest F.C.,False
Scott Hogan,Sunderland AFC,False
Paolo De Ceglie,Sportfreunde Siegen,False
Kortney Hause,Everton,False
David Villa Sánchez,Tottenham Hotspur,False
Andreas Bødtker Christensen,Manchester City F.C.,False
Johan Erik Calvin Elmander,Norwich City F.C.,True
Cheikh M'Bengue,Sunderland AFC,False
Nicklas Bendtner,Crystal Palace,False
Povilas Leimonas,Reaktywacja Tradycji Sportowych Widzew Łódź,True
Vincenzo Grifo,Dynamo Dresden,True
Maik Franz,Lechia Gdańsk,False
Cristian Molinaro,FC Kuban Krasnodar,False
Yosef Shai Benayoun,Getafe,False
Cephas Malele,SC Freiburg,False
Marko Arnautović,Levante UD,False
Josmer Volmy Altidore,Sunderland AFC,True
Robert Žulj,TSV 1860 Munich,False
Martin Harnik,Hamburger SV,False
Cristian Molinaro,S.L. Benfica,False
Jackson Arley Martínez Valencia,Napoli,False
Jordy Clasie,Arsenal F.C.,False
Gordan Bunoza,K.R.C. Genk,False
Luiz Gustavo,Chelsea,False
Roque Santa Cruz,Stoke City,False
Phillip Anthony Bardsley,Panathinaikos F.C.,False
Kevin-Prince Boateng,Arsenal F.C.,False
Nélson Oliveira,Stoke City,False
Innocent Nkasiobi Emeghara,FC Schalke 04,False
Kevin Strootman,Roma,True
John Obi Mikel,Napoli,False
Maxime Lestienne,VfL Wolfsburg,False
Samuele Longo,SC Freiburg,False
Gabriel Andrei Torje,FC Kuban Krasnodar,False
Sebastian Jung,Arsenal F.C.,False
Rúben Micael,Zawisza Bydgoszcz,False
Abdisalam Abdulkadir Ibrahim,Reading F.C.,False
Romain Alessandrini,FC Schalke 04,False
Mesut Özil,Arsenal F.C.,True
Filip Twardzik,Everton,False
Antonio Adán Garrido,Sporting CP,False
Stoke City,Manchester City F.C.,False
Nani,Napoli,False
Manuel Lanzini,Zenit Saint Petersburg,False
Tom Cleverley,OFK Bor,False
Ross McCormack,Queens Park Rangers,False
Joseph Anthony Barton,Beşiktaş,False
Tim Klaus Hoogland,Sportfreunde Siegen,False
Andrew Johnson,Sunderland AFC,False
Dmitri Evgenyevich Torbinski,Rubin Kazan,True
Antonio Rüdiger,OFK Bor,False
Diego Alves Carreira,Roma,False
Álvaro Negredo Sánchez,Manchester City F.C.,True
Kagisho Evidence Dikgacoi,Sportfreunde Siegen,False
Rony Lopes,Red Bull Salzburg,False
Reto Ziegler,Hamburger SV,True
Kevin Volland,Napoli,False
Henri Bedimo,Olympique Lyonnais,True
Sone Aluko,Crystal Palace,False
Peter Gelson,SC Freiburg,False
Anthony Modeste,Trabzonspor,False
Fraser Gerard Forster,A.C. Milan,False
Jelle Vossen,Middlesbrough F.C.,True
Tomer Hemed,Legia Warsaw,False
Demba Ba,Crystal Palace,False
Phil Ofosu-Ayeh,Twente,False
Siphiwe Tshabalala,OFK Bor,False
Bafétimbi Gomis,VfL Wolfsburg,False
Vincenzo Grifo,Sandhausen,False
Igor Denisov,FC Dynamo Moscow,True
Shinji Okazaki,1. FSV Mainz 05,True
Peter Odemwingie,Stoke City,True
Javi Martínez,Napoli,False
Cheikhou Kouyaté,VfL Wolfsburg,False
Edson Braafheid,Beşiktaş,False
Romelu Lukaku,OFK Bor,False
Maciej Jankowski,RAEC,False
Aaron Hunt,Sportfreunde Siegen,True
Michael Mancienne,Crystal Palace,False
Danilo,PAOK FC,False
Chuba Amechi Akpom,Brentford,True
Pablo Daniel Osvaldo,Boca Juniors,True
Ciprian Andrei Marica,Arsenal F.C.,False
Pierre-Michel Lasogga,Hannover 96,False
Munir El Haddadi Mohamed,Arsenal F.C.,False
Stefan Marius Johansen,Celtic F.C.,True
Adil Rami,ACF Fiorentina,False
Marin Leovac,Rijeka,True
Alain Rochat,Young Boys,True
Dani Quintana,Sportfreunde Siegen,False
Brek Shea,Barnsley F.C.,True
Virgil van Dijk,Celtic F.C.,True
Lewis Harry Holtby,FC Schalke 04,True
Raúl García,OFK Bor,False
Florian Hartherz,SC Paderborn,True
Eren Derdiyok,Hannover 96,False
Kévin Mickael Junior Gomis,Nottingham Forest F.C.,True
Emmanuel Adebayor,CSKA Moscow,False
Duván Zapata,Napoli,True
Per Ciljan Skjelbred,OFK Bor,False
Mohammed Rabiu,FC Kuban Krasnodar,True
Sergi Samper,Tottenham Hotspur,False
Jeffrey Kevin van Homoet Bruma,Juventus,False
Juan Bernat,Bayern Munich,True
Nikica Jelavić,Hamburger SV,False
Habib Habibou,Sportfreunde Siegen,False
Diego Armando Valentin Contento,Napoli,False
Diego Armando Valentin Contento,Sportfreunde Siegen,False
Philippe Senderos,Valencia CF,True
Javi Guerra,West Bromwich Albion F.C.,False
Daniel Peter Simpson,Queens Park Rangers,True
Divock Okoth Origi,Liverpool F.C.,True
Antonio Amaya,VfB Stuttgart,False
Bryan Cristante,VfB Stuttgart,False
Arnaldo Antonio Sanabria Ayala,Arsenal F.C.,False
Dawid Kownacki,Arsenal F.C.,False
Christopher Schindler,Hamburger SV,False
Leon Andreasen,Hamburger SV,False
Juhani Ojala,Basel,False
Marvin Bakalorz,SC Paderborn,True
Godfred Donsah,OFK Bor,False
Dominik Furman,West Bromwich Albion F.C.,False
Silvestre Varela,FC Schalke 04,False
Antoine Griezmann,Chelsea,False
Gaël Givet,Associazione Sportiva,False
Jack Hunt,Crystal Palace,True
Michele Polverino,FK Austria Wien,False
Lee Barry Cattermole,Fulham F.C.,False
Bafétimbi Gomis,ACF Fiorentina,False
Julian Brandt,Bayer 04 Leverkusen,True
Flamengo,Thiago Emiliano da Silva,False
Ravel Ryan Morrison,Queens Park Rangers,True
Hervé Tchami,Pogoń Szczecin,True
Roman Bürki,1. FSV Mainz 05,False
Dele Alli,Liverpool F.C.,False
Toni Kroos,Arsenal F.C.,False
Roberto Firmino Barbosa de Oliveira,OFK Bor,False
Victor Vinícius Coelho dos Santos,Fluminense,False
Gary Alexis Medel Soto,Málaga,False
Pablo Daniel Osvaldo,Southampton F.C.,True
Gonzalo Alejandro Jara Reyes,Nottingham Forest F.C.,True
Adam Maher,Inter Milan,False
Rafael van der Vaart,Beşiktaş,False
Graham Dorrans,Middlesbrough F.C.,False
Michael Sheehan Bradley,Sunderland AFC,False
Daniel Bessa,Sunderland AFC,False
Didier Frédéric Digard,Málaga,False
Timo Werner,OFK Bor,False
Aleksei Sergeyevich Ionov,FC Dynamo Moscow,True
Jordan Rhodes,West Bromwich Albion F.C.,False
Bruno Martins Indi,Manchester United,False
Serdar Tasci,Spartak Moscow,True
William Kvist,Fulham F.C.,True
Liam Simon Moore,Fulham F.C.,False
Robson de Souza,Cruzeiro,False
Toby Alderweireld,Tottenham Hotspur,True
Gabriel Sebastian Tamaș,Legia Warsaw,False
Marcin Wasilewski,Legia Warsaw,False
Roman Bezjak,Sportfreunde Siegen,False
Adel Taarabt,Fulham F.C.,True
Bastian Oczipka,Sunderland AFC,False
Nils Ola Toivonen,CSKA Moscow,False
Dean Whitehead,Middlesbrough F.C.,True
Mohamed Salah,OFK Bor,False
Nani,S.L. Benfica,False
Tranquillo Barnetta,U.S. Sassuolo Calcio,False
Timo Perthel,1. FSV Mainz 05,False
Reza Haghighi Shandiz,OFK Bor,False
Christopher Wernitznig,Wolfsberger AC,True
Joseph Anthony Barton,Everton,False
Sekou Cissé,VfB Stuttgart,False
Michel Bastos,Hannover 96,False
Adil Rami,Manchester City F.C.,False
Pierre-Michel Lasogga,Hamburger SV,True
Matthew Ryan Macey,Arsenal F.C.,True
Lamine Sané,Bayer 04 Leverkusen,False
Mauro Matías Zárate Riga,OFK Bor,False
Tranquillo Barnetta,A.C. ChievoVerona,False
Ryad Boudebouz,Aston Villa F.C.,False
Ola Williams Kamara,Kayseri Erciyesspor,False
Aiden McGeady,Aston Villa F.C.,False
Micah Lincoln Richards,A.C. Milan,False
Rafinha,ACF Fiorentina,False
Liam Lawrence,Barnsley F.C.,True
Alan Hutton,Stoke City,False
Javier Matías Pastore,Arsenal F.C.,False
Luka Modrić,Tottenham Hotspur,True
Kieran Edward Richardson,Al-Wasl,False
Eric Hassli,Young Boys,False
Todor Nedelev,Hamburger SV,False
Calum Chambers,Manchester United,False
Adrián Ramos,OFK Bor,False
Tomás Eduardo Rincón Hernández,Fulham F.C.,False
Guillermo Varela Olivera,Boca Juniors,False
Ricardo Vaz Tê,TSG 1899 Hoffenheim,False
Thomas Kraft,OFK Bor,False
大迫 勇也,FC Augsburg,False
Juan Mata,Juventus,False
Daniel Agger,Napoli,False
(香川 真司),Beşiktaş,False
João Aurélio,Everton,False
Philipp Hosiner,Grasshopper Club Zürich,False
Thorgan Ganael Francis Hazard,Everton,False
Louis Schaub,OFK Bor,False
Kader Mangane,Lille Olympique Sporting Club,False
Jakub Sylvestr,Hertha BSC,False
Hugo Miguel Pereira de Almeida,VfB Stuttgart,False
Jiloan Hamad,OFK Bor,False
Kasper Peter Schmeichel,Manchester United,False
Ola John,Hamburger SV,True
Guilherme Costa Marques,Legia Warsaw,True
Roberto Firmino Barbosa de Oliveira,Zenit Saint Petersburg,False
Victor Moses,West Bromwich Albion F.C.,False
Ashley Cole,Trabzonspor,False
Georg Teigl,RB Leipzig,True
Bafétimbi Gomis,Crystal Palace,False
Valon Berisha,OFK Bor,False
Luca Caldirola,Sportfreunde Siegen,True
Thomas Meunier,VfL Wolfsburg,False
Kevin Kampl,Arsenal F.C.,False
Álvaro Borja Morata Martín,Liverpool F.C.,False
İlkay Gündoğan,Napoli,False
Sébastien Corchia,OFK Bor,False
Dimitri Payet,Hamburger SV,False
Amadou Jawo,Legia Warsaw,False
Marko Marin,FC Schalke 04,False
David Degen,FC Luzern,False
Júlio César Soares de Espíndola,Napoli,False
Matthias Ginter,OFK Bor,False
Bacary Sagna,Paris Saint-Germain,False
Darren Bent,VfL Wolfsburg,False
Jürgen Locadia,Rubin Kazan,False
Fábio Alexandre da Silva Coentrão,Manchester United,False
Etrit Berisha,Hamburger SV,False
Philipp Hosiner,Everton,False
Raphael Augusto,Legia Warsaw,True
Robert Lewandowski,Napoli,False
Dariusz Dudka,Reaktywacja Tradycji Sportowych Widzew Łódź,False
Yohan Benalouane,Inter Milan,False
Tom Cleverley,Everton,True
Demba Ba,OFK Bor,False
Lucas Barrios,U.S. Sassuolo Calcio,False
Fredy Guarín,Manchester United,False
Angelo Ogbonna,Juventus,True
Tadej Trdina,Wolfsberger AC,True
Sékou Junior Sanogo,TSG 1899 Hoffenheim,False
Ahmed Musa,OFK Bor,False
Mehmet Ekici,Beşiktaş,False
Gideon Baah,Lech Poznań,False
Franco Matías Di Santo,Sportfreunde Siegen,True
Carlos Mané,Manchester United,False
Aiden McGeady,Newcastle United F.C.,False
Toni Kroos,Real Madrid C.F.,True
Ishak Belfodil,Crystal Palace,False
Joël Ivo Veltman,Liverpool F.C.,False
Salomon Armand Magloire Kalou,Sportfreunde Siegen,False
Innocent Nkasiobi Emeghara,Basel,False
Cícero Casimiro Sanches Semedo,OFK Bor,False
Stefan de Vrij,FC Schalke 04,False
Maciej Makuszewski,Lechia Gdańsk,True
Andrey Olegovich Yeshchenko,FC Dynamo Moscow,True
Stoke City,Manchester City F.C.,False
Samuel Inkoom,Sportfreunde Siegen,False
José Callejón,Chelsea,False
William Gallas,Melbourne Victory F.C.,False
Maxime Lestienne,CSKA Moscow,False
Lewis Harry Holtby,Aston Villa F.C.,False
Rudy Gestede,Blackburn Rovers,True
Christopher Wernitznig,SC Paderborn,False
André Simões,Legia Warsaw,False
Tom Huddlestone,Sunderland AFC,False
Juan Fernando Quintero Paniagua,FC Porto,True
Jakub Sylvestr,SC Freiburg,False
Juan Sebastián Agudelo,F.C. Utrecht,True
Jan Bert Lieve Vertonghen,Roma,False
Dani Aquino,Everton,False
(香川 真司),OFK Bor,False
Joseph Akpala,Kardemir Karabükspor,True
Neil Taylor,Everton,False
Stephan El Shaarawy,Chelsea,False
Júlio César Soares de Espíndola,Manchester City F.C.,False
Ishak Belfodil,Queens Park Rangers,False
Kevin Wimmer,Fulham F.C.,False
Hugo Lloris,Paris Saint-Germain,False
柿谷 曜一朗,Arsenal F.C.,False
FC Marek Dupnitsa,Sportfreunde Siegen,False
Eric Maxim Choupo-Moting,Hertha BSC,False
Sebastian Jung,Arsenal F.C.,False
Oussama Assaidi,Sevilla FC,False
Heinz Lindner,OFK Bor,False
Maik Franz,FC Energie Cottbus,False
Thomas Salamon,FK Austria Wien,True
Cyrus Christie,Stoke City,False
Matthias Ostrzolek,OFK Bor,False
Kamil Grosicki,Lechia Gdańsk,False
Abdoulaye Traoré,Legia Warsaw,False
Santiago Vergini,Sunderland AFC,True
Denis Cheryshev,OFK Bor,False
Sergi Roberto,Arsenal F.C.,False
Adam David Lallana,Liverpool F.C.,True
Marco Schneuwly,FC Luzern,True
Viktor Gorridsen Fischer,FC Barcelona,False
Thomas Dalgaard,SC Freiburg,False
Denis Cheryshev,Roma,False
Bradley James Orr,Toronto FC,True
Almog Cohen,FSV Frankfurt,False
Muhammed Ildiz,Gaziantepspor,True
David Goodwillie,Aberdeen F.C.,True
William James Hughes,Everton,False
Filip Twardzik,Partizan,False
Nicolás Otamendi,Manchester City F.C.,True
Luca Marrone,VfL Wolfsburg,False
Alexandru Iulian Maxim,VfL Wolfsburg,False
Luiz Gustavo,VfL Wolfsburg,True
Jonathan Soriano,Everton,False
Filip Twardzik,SS Lazio,False
Akaki Gogia,Hertha BSC,False
Thomas Vermaelen,OFK Bor,False
Kurt Happy Zouma,Bayern Munich,False
Rafik Djebbour,Nottingham Forest F.C.,True
Lenny Nangis,Everton,False
Lee Barry Cattermole,Stoke City,False
Lewis Harry Holtby,Inter Milan,False
Alexandre Dimitri Song Billong,Manchester United,False
Bernard Malanda-Adje,VfL Wolfsburg,True
Anton Atanasov Karachanakov,Lech Poznań,False
Filip Twardzik,Club Brugge,False
Mauricio Aníbal Isla Isla,OFK Bor,False
Manuel Ortlechner,LASK Linz,False
Jonathan Soriano,Trabzonspor,False
Flamengo,Chelsea,False
Sosha Makani,Feyenoord,False
Ricardo Alexandre Martins Soares Pereira,Everton,False
Denis Cheryshev,Málaga,False
Emiliano Viviano,VfB Stuttgart,False
Henri Anier,Motherwell F.C.,True
Munir El Haddadi Mohamed,Bayern Munich,False
İlkay Gündoğan,Real Madrid C.F.,False
Keisuke Honda,FC Barcelona,False
Fabio Quagliarella,Aston Villa F.C.,False
Kevin De Bruyne,AFC Ajax,False
Gino Peruzzi Lucchetti,Sunderland AFC,False
Gary Paul O'Neil,Queens Park Rangers,True
Jonathan Glao Tah,Manchester City F.C.,False
André Hahn,FC Schalke 04,False
Péter Gulácsi,Southampton F.C.,False
Haris Seferović,OFK Bor,False
Daniel Amartey,Liverpool F.C.,False
Teemu Pukki,SC Freiburg,False
Virgil van Dijk,Celtic F.C.,True
Gary Alexis Medel Soto,Valencia CF,False
Danny Welbeck,OFK Bor,False
Lasse Sobiech,Hamburger SV,True
Andros Townsend,Everton,False
Ravel Ryan Morrison,Manchester City F.C.,False
Michael Essien,A.C. Milan,True
Gareth Barry,Arsenal F.C.,False
Ezequiel Matías Schelotto,FC Porto,False
Pierre-Emerick Emiliano François Aubameyang,Napoli,False
Dídac Vilà Rosselló,Real Betis,True
Makhmednaim Makhmadkarimzade Sharifi,SK Sturm Graz,True
David Goodwillie,Blackpool F.C.,True
André Santos,Flamengo,True
Michael Fabián Ríos Ripoll,Red Bull Salzburg,False
Keita Baldé Diao,Liverpool F.C.,False
Valentin Stocker,Juventus,False
Marko Marin,Sevilla FC,True
Jackson Arley Martínez Valencia,Chelsea,False
Mounir El Hamdaoui,Málaga,True
Serrano,Wisła Kraków,False
César Azpilicueta Tanco,ACF Fiorentina,False
Michael Sheehan Bradley,FC Schalke 04,False
Hélder Postiga,SS Lazio,True
Johan Martial,SBV Vitesse,False
Panagiotis Vlachodimos,FC Augsburg,True
Lasse Schöne,Beşiktaş,False
Yann Sommer,ACF Fiorentina,False
Eren Derdiyok,Bayer 04 Leverkusen,True
Adil Rami,A.C. Milan,True
Obeng Regan,Legia Warsaw,False
Gabriel Alejandro Paletta,A.C. Milan,True
Matthias Ostrzolek,Hertha BSC,False
Michael Essien,Al-Ain F.C.,False
Prejuce Nakoulma,Club Brugge,False
Óliver Torres Muñoz,Bayern Munich,False
Reza Ghoochannejhad,Groningen,False
Davy Klaassen,Aston Villa F.C.,False
Hedwiges Eduard Martinus Maduro,Fulham F.C.,False
Álvaro Borja Morata Martín,Juventus,True
Afriyie Acquah,Parma,False
Iago Aspas,Celta de Vigo,True
Lukas Königshofer,Sportverein Grödig,False
Sebastian Rudy,Inter Milan,False
John Arne Riise,Roma,True
Michal Kadlec,Hannover 96,False
Florian Thauvin,Olympique de Marseille,True
Bogdan Stancu,Sportfreunde Siegen,False
Bibras Natkho,VfB Stuttgart,False
Georgi Ventsislavov Milanov,CSKA Moscow,True
Evander Sno,Haagsche F.C.,True
Rubén Castro Martín,West Bromwich Albion F.C.,False
Sadio Mané,Aston Villa F.C.,False
Marat Nailevich Izmailov,Arsenal F.C.,False
Astrit Ajdarević,Charlton Athletic F.C.,True
Jean-Paul Boëtius,A.C. Milan,False
Paul Madiba,Arsenal F.C.,False
Walid Atta,FC Aarau,False
Marouane Chamak,Levante UD,False
Arouna Koné,Newcastle United F.C.,False
Granit Xhaka,Everton,False
Sergio Leonel Agüero,FC Barcelona,False
Paul Scharner,Wolfsberger AC,False
Lukas Hinterseer,TSG 1899 Hoffenheim,False
Costel Pantilimon,OFK Bor,False
Paul Scharner,VfL Wolfsburg,False
Jean-Paul Boëtius,Arsenal F.C.,False
Mix Diskerud,Sportfreunde Siegen,False
Khalid Boulahrouz,AFC Ajax,False
Afriyie Acquah,U.S. Sassuolo Calcio,False
Sidnei,Wolfsberger AC,False
Peter Suswam,Wisła Kraków,False
Nemanja Vidić,ACF Fiorentina,False
Carlton Michael George Cole,Saint-Étienne,False
Robert Tesche,1. FSV Mainz 05,False
Sylwester Patejuk,Zawisza Bydgoszcz,True
Loris Benito Souto,Young Boys,True
Xherdan Shaqiri,A.C. Milan,False
Sadio Mané,Tottenham Hotspur,False
Aras Özbiliz,Manchester United,False
David Michael Bentley,Málaga,False
Jérémy Toulalan,Stade Rennais,False
Marc Bartra,Valencia CF,False
Alexander Meier,Hertha BSC,False
Henrikh Mkhitaryan,OFK Bor,False
Fraizer Campbell,Sunderland AFC,True
Lionel Messi,Liverpool F.C.,False
Luca Zuffi,Grasshopper Club Zürich,False
Maxime Lestienne,FC Schalke 04,False
Vladimir Borisovich Gabulov,Spartak Moscow,False
Ezequiel Matías Muñoz,Sportfreunde Siegen,False
Mirko Teodorović,Arsenal F.C.,False
Christopher Jullien,SC Freiburg,True
Muhamed Keita,Lech Poznań,True
Iván Helguera Bujía,Legia Warsaw,False
David Vahani Manoyan,SK Sturm Graz,False
Étienne Capoue,Napoli,False
Pavel Vidanov,FC Aarau,False
Diagne Fallou,Fulham F.C.,False
Zakaria Bakkali,Combinatie Zwolle,False
Veli Kavlak,FC Schalke 04,False
Asier Illarramendi Andonegi,VfL Wolfsburg,False
Billy Sharp,Sheffield Wednesday F.C.,False
Maikel Franciscus Wilhelmus Verkoelen,Reaktywacja Tradycji Sportowych Widzew Łódź,False
Lamine Diarrassouba,Lechia Gdańsk,False
Philipp Zulechner,SC Freiburg,True
Tobias Weis,Beşiktaş,False
Matthias Ginter,Manchester United,False
Luca Marrone,Everton,False
Dušan Basta,FC Schalke 04,False
Miguel Lopes,VfB Stuttgart,False
William Carvalho,Manchester United,False
Danny Hoesen,PAOK FC,False
Yassine Chikhaoui,OFK Bor,False
Heinz Lindner,Basel,False
Karim Haggui,VfB Stuttgart,True
Thomas Rogne,Wigan Athletic F.C.,True
Jucilei,Napoli,False
Emmanuel Rivière,Everton,False
Mario Götze,OFK Bor,False
Sami Khedira,OFK Bor,False
Larnell Cole,Fulham F.C.,True
Antonio Rukavina,Sportfreunde Siegen,False
Daniel Baier,OFK Bor,False
Christopher Samba,FC Dynamo Moscow,True
Nathan Benjamin Aké,Middlesbrough F.C.,False
Johan Bertilsson,Zagłębie Lubin,True
Diego da Silva Costa,OFK Bor,False
Valmir Berisha,OFK Bor,False
Josh Coulson,Everton,False
Fabio Quagliarella,Al-Gharafa,False
Robert Žulj,Rapid Wien,False
El Hadji Diouf,Olympiacos,False
